code,name,provinceCode
5328,"西双版纳傣族自治州",53
5329,"大理白族自治州",53
5331,"德宏傣族景颇族自治州",53
5333,"怒江傈僳族自治州",53
5334,"迪庆藏族自治州",53
5401,"拉萨市",54
5402,"日喀则市",54
5403,"昌都市",54
5404,"林芝市",54
5405,"山南市",54
5406,"那曲市",54
5425,"阿里地区",54
6101,"西安市",61
6102,"铜川市",61
6103,"宝鸡市",61
6104,"咸阳市",61
6105,"渭南市",61
6106,"延安市",61
6107,"汉中市",61
6108,"榆林市",61
6109,"安康市",61
6110,"商洛市",61
6201,"兰州市",62
6202,"嘉峪关市",62
6203,"金昌市",62
6204,"白银市",62
6205,"天水市",62
6206,"武威市",62
6207,"张掖市",62
6208,"平凉市",62
6209,"酒泉市",62
6210,"庆阳市",62
6211,"定西市",62
6212,"陇南市",62
6229,"临夏回族自治州",62
6230,"甘南藏族自治州",62
6301,"西宁市",63
6302,"海东市",63
6322,"海北藏族自治州",63
6323,"黄南藏族自治州",63
6325,"海南藏族自治州",63
6326,"果洛藏族自治州",63
6327,"玉树藏族自治州",63
6328,"海西蒙古族藏族自治州",63
6401,"银川市",64
6402,"石嘴山市",64
6403,"吴忠市",64
6404,"固原市",64
6405,"中卫市",64
6501,"乌鲁木齐市",65
6502,"克拉玛依市",65
6504,"吐鲁番市",65
6505,"哈密市",65
6523,"昌吉回族自治州",65
6527,"博尔塔拉蒙古自治州",65
6528,"巴音郭楞蒙古自治州",65
6529,"阿克苏地区",65
6530,"克孜勒苏柯尔克孜自治州",65
6531,"喀什地区",65
6532,"和田地区",65
6540,"伊犁哈萨克自治州",65
6542,"塔城地区",65
6543,"阿勒泰地区",65
6590,"自治区直辖县级行政区划",65
